word,count
lyžování,3
je,4
sport,2
který,1
v,4
posledních,1
desetiletích,1
nabyl,1
obrovské,1
popularity,1
tento,1
zimní,1
nabízí,2
nejen,1
zábavu,1
a,4
adrenalin,1
ale,1
také,2
vynikající,1
formou,1
pohybu,1
pro,1
celé,1
tělo,1
lyžovat,1
můžete,1
jak,1
závodním,1
tempu,2
na,1
sjezdovkách,1
tak,1
i,1
klidnějším,1
přírodě,1
daleko,1
od,2
civilizace,1
kromě,1
fyzických,1
přínosů,1
jako,1
posilování,1
svalů,1
kardiovaskulární,1
trénink,1
příležitost,1
užít,1
si,2
krásné,1
přírody,1
příjemně,1
odpočinout,1
každodenního,1
shonu,1
proto,1
oblíbeným,1
sportem,1
mnoha,1
lidí,1
všech,1
věkových,1
kategorií,1
úrovní,1
fyzické,1
kondice,1
